#词语 词类标记 词类名称 出现次数 频率 累积频率
头 a 形容词 153 0.0016 85.7196
贼 n 名词 153 0.0016 85.718
语句 n 名词 153 0.0016 85.7116
照相机 n 名词 153 0.0016 85.7148
南斯拉夫 ns 地名 153 0.0016 85.702
次 a 形容词 153 0.0016 85.6956
出身 n 名词 153 0.0016 85.678
姓名 n 名词 153 0.0016 85.6748
倾 v 动词 153 0.0016 85.6764
心目中 nl 处所名词 153 0.0016 85.6796
主观 a 形容词 153 0.0016 85.6812
激励 v 动词 153 0.0016 85.694
洒 v 动词 153 0.0016 85.6844
贸易 n 名词 153 0.0016 85.7004
真诚 a 形容词 153 0.0016 85.686
前边 nd 方位名词 153 0.0016 85.6876
苍白 a 形容词 153 0.0016 85.6892
紧接着 v 动词 153 0.0016 85.6908
辨 v 动词 153 0.0016 85.6972
不小 a 形容词 153 0.0016 85.6924
价钱 n 名词 153 0.0016 85.6828
互助组 n 名词 152 0.0016 85.758
中医 n 名词 152 0.0016 85.7596
纵 a 形容词 152 0.0016 85.7708
侵占 v 动词 152 0.0016 85.7612
石块 n 名词 152 0.0016 85.7532
首要 a 形容词 152 0.0016 85.7628
自称 v 动词 152 0.0016 85.7644
户 q 量词 152 0.0016 85.766
职 n 名词 152 0.0016 85.7676
赞美 v 动词 152 0.0016 85.774
回顾 v 动词 152 0.0016 85.7836
并用 v 动词 152 0.0016 85.782
囊 n 名词 152 0.0016 85.7804
好比 v 动词 152 0.0016 85.7788
座位 n 名词 152 0.0016 85.7772
大楼 n 名词 152 0.0016 85.7756
凭借 v 动词 152 0.0016 85.7692
联络 v 动词 152 0.0016 85.7724
多 v 动词 152 0.0016 85.7564
撤 v 动词 152 0.0016 85.7452
话题 n 名词 152 0.0016 85.7484
小事 n 名词 152 0.0016 85.7356
人民民主专政 n 名词 152 0.0016 85.7548
倾斜 v 动词 152 0.0016 85.7276
给以 v 动词 152 0.0016 85.7292
不尽 a 形容词 152 0.0016 85.7308
易于 v 动词 152 0.0016 85.7324
休眠 v 动词 152 0.0016 85.734
微米 q 量词 152 0.0016 85.7244
出国 v 动词 152 0.0016 85.7372
摇摇头 v 动词 152 0.0016 85.7388
温 n 名词 152 0.0016 85.7404
展出 v 动词 152 0.0016 85.742
可笑 a 形容词 152 0.0016 85.7436
军舰 n 名词 152 0.0016 85.7516
后悔 v 动词 152 0.0016 85.7468
礼貌 n 名词 152 0.0016 85.726
悲惨 a 形容词 152 0.0016 85.75
酋长 n 名词 151 0.0016 85.8364
脓 n 名词 151 0.0016 85.8236
兔子 n 名词 151 0.0016 85.8188
头顶 nl 处所名词 151 0.0016 85.8252
偏 d 副词 151 0.0016 85.8268
逃避 v 动词 151 0.0016 85.8284
羊毛 n 名词 151 0.0016 85.83
备 v 动词 151 0.0016 85.8316
素材 n 名词 151 0.0016 85.8332
立方米 q 量词 151 0.0016 85.838
市区 n 名词 151 0.0016 85.8492
阔 a 形容词 151 0.0016 85.8476
幽默 a 形容词 151 0.0016 85.846
技术革命 v 动词 151 0.0016 85.7868
茧 n 名词 151 0.0016 85.8444
体质 n 名词 151 0.0016 85.822
常规 n 名词 151 0.0016 85.8428
计划经济 n 名词 151 0.0016 85.8348
山下 nl 处所名词 151 0.0016 85.8412
访 v 动词 151 0.0016 85.8396
胎儿 n 名词 151 0.0016 85.8204
地步 n 名词 151 0.0016 85.7964
赔偿 v 动词 151 0.0016 85.7996
喜剧 n 名词 151 0.0016 85.7884
紫色 n 名词 151 0.0016 85.79
支 v 动词 151 0.0016 85.7916
野蛮 a 形容词 151 0.0016 85.7948
泉 n 名词 151 0.0016 85.798
正面 nd 方位名词 151 0.0016 85.7852
舍不得 v 动词 151 0.0016 85.8012
出 q 量词 151 0.0016 85.8028
云 v 动词 151 0.0016 85.8044
诚恳 a 形容词 151 0.0016 85.806
伤口 n 名词 151 0.0016 85.8076
债务 n 名词 151 0.0016 85.8092
称号 n 名词 151 0.0016 85.8108
杏仙 nhs 人名-名 151 0.0016 85.8124
动力学 n 名词 151 0.0016 85.814
激 v 动词 151 0.0016 85.8172
打下 v 动词 151 0.0016 85.8156
勾结 v 动词 151 0.0016 85.7932
原始社会 n 名词 150 0.0016 85.878
花色 n 名词 150 0.0016 85.8796
洞里 nl 处所名词 150 0.0016 85.8972
隐藏 v 动词 150 0.0016 85.8812
外表 n 名词 150 0.0016 85.8748
摸索 v 动词 150 0.0016 85.8828
反过来 d 副词 150 0.0016 85.8844
手势 n 名词 150 0.0016 85.886
散发 v 动词 150 0.0016 85.8956
大寨 ns 地名 150 0.0016 85.8892
照样 v 动词 150 0.0016 85.8908
耕作 v 动词 150 0.0016 85.8924
发动机 n 名词 150 0.0016 85.894
王朝 nt 时间名词 150 0.0016 85.8876
田里 nl 处所名词 150 0.0016 85.8716
百分 n 名词 150 0.0016 85.87
正规 a 形容词 150 0.0016 85.8764
重重 a 形容词 150 0.0016 85.8508
撑 v 动词 150 0.0016 85.8604
发电机 n 名词 150 0.0016 85.8556
觉悟 n 名词 150 0.0016 85.8572
毁 v 动词 150 0.0016 85.8588
闪光 v 动词 150 0.0016 85.854
尤为 d 副词 150 0.0016 85.862
散步 v 动词 150 0.0016 85.8636
澳门 ns 地名 150 0.0016 85.8652
身心 n 名词 150 0.0016 85.8668
空虚 a 形容词 150 0.0016 85.8732
湖泊 n 名词 150 0.0016 85.8684
卧 v 动词 150 0.0016 85.8524
嫩 a 形容词 149 0.0016 85.9564
瞬间 nt 时间名词 149 0.0016 85.934
平凡 a 形容词 149 0.0016 85.9356
摧毁 v 动词 149 0.0016 85.9596
劳动日 n 名词 149 0.0016 85.9388
粘 a 形容词 149 0.0016 85.9308
主 a 形容词 149 0.0016 85.9404
经济危机 i 习用语 149 0.0016 85.942
人影 n 名词 149 0.0016 85.9436
粉末 n 名词 149 0.0016 85.9452
消毒 v 动词 149 0.0016 85.958
好吃 a 形容词 149 0.0016 85.9468
首领 n 名词 149 0.0016 85.9484
熬 v 动词 149 0.0016 85.95
月初 nt 时间名词 149 0.0016 85.9532
屠杀 v 动词 149 0.0016 85.926
反帝 v 动词 149 0.0016 85.9548
老伴 n 名词 149 0.0016 85.9324
瑞士 ns 地名 149 0.0016 85.9516
下旬 nt 时间名词 149 0.0016 85.9372
五千 m 数词 149 0.0016 85.9276
男性 n 名词 149 0.0016 85.9068
改正 v 动词 149 0.0016 85.9084
行动 v 动词 149 0.0016 85.9132
丁 n 名词 149 0.0016 85.9052
嘿嘿 o 拟声词 149 0.0016 85.9036
叠 v 动词 149 0.0016 85.902
司法 v 动词 149 0.0016 85.9004
一路上 nl 处所名词 149 0.0016 85.8988
元 nt 时间名词 149 0.0016 85.91
畜牧业 n 名词 149 0.0016 85.9148
闭上 v 动词 149 0.0016 85.9164
其一 r 代词 149 0.0016 85.918
速 a 形容词 149 0.0016 85.9196
童年 n 名词 149 0.0016 85.9212
图上 nl 处所名词 149 0.0016 85.9228
体裁 n 名词 149 0.0016 85.9292
管理 n 名词 149 0.0016 85.9244
级 q 量词 149 0.0016 85.9116
新时期 n 名词 148 0.0015 85.9836
黄土 n 名词 148 0.0015 85.9791
物化 v 动词 148 0.0015 85.9851
不及 v 动词 148 0.0015 85.9866
增进 v 动词 148 0.0015 85.9881
楼房 n 名词 148 0.0015 85.9896
高速 a 形容词 148 0.0015 85.9911
籍 n 名词 148 0.0015 85.9926
思路 n 名词 148 0.0015 85.9941
乐队 n 名词 148 0.0015 85.9956
莫名其妙 i 习用语 148 0.0015 85.9971
筑 v 动词 148 0.0015 85.9761
金刚石 n 名词 148 0.0015 85.9821
列为 v 动词 148 0.0015 85.9806
当做 v 动词 148 0.0015 85.9626
锌 n 名词 148 0.0015 85.9641
萨满 n 名词 148 0.0015 85.9656
交织 v 动词 148 0.0015 85.9671
烦恼 a 形容词 148 0.0015 85.9686
车辆 n 名词 148 0.0015 85.9701
储备 v 动词 148 0.0015 85.9716
就算 c 连词 148 0.0015 85.9776
受精 v 动词 148 0.0015 85.9731
家人 n 名词 148 0.0015 85.9611
裤子 n 名词 148 0.0015 85.9746
期 q 量词 147 0.0015 86.0391
始 n 名词 147 0.0015 86.0271
好象是 v 动词 147 0.0015 86.0256
童话 n 名词 147 0.0015 86.0286
复辟 v 动词 147 0.0015 86.0301
纸上 nl 处所名词 147 0.0015 86.0316
质变 n 名词 147 0.0015 86.0331
峰 n 名词 147 0.0015 86.0346
选出 v 动词 147 0.0015 86.0361
向来 d 副词 147 0.0015 86.0376
四项基本原则 n 名词 147 0.0015 86.0526
最新 a 形容词 147 0.0015 86.0406
参谋 n 名词 147 0.0015 86.0421
达尔文 nh 人名 147 0.0015 86.0436
卡 n 名词 147 0.0015 86.0451
牢固 a 形容词 147 0.0015 86.0466
搁 v 动词 147 0.0015 86.0496
上诉 v 动词 147 0.0015 86.0511
恶化 v 动词 147 0.0015 86.0211
期待 v 动词 147 0.0015 86.0226
手表 n 名词 147 0.0015 86.0106
小球 n 名词 147 0.0015 86.0481
亲 a 形容词 147 0.0015 86.0016
嵌 v 动词 147 0.0015 86.0031
中原 ns 地名 147 0.0015 86.0046
样式 n 名词 147 0.0015 86.0061
决心 d 副词 147 0.0015 86.0076
柔和 a 形容词 147 0.0015 86.0091
浪花 n 名词 147 0.0015 86.0001
单调 a 形容词 147 0.0015 86.0121
绘 v 动词 147 0.0015 86.0136
不等 a 形容词 147 0.0015 86.0151
化为 v 动词 147 0.0015 86.0166
不惜 v 动词 147 0.0015 86.0181
电离 v 动词 147 0.0015 86.0241
纵队 n 名词 147 0.0015 86.0196
阴影 n 名词 147 0.0015 85.9986
跃 v 动词 146 0.0015 86.0811
歼灭 v 动词 146 0.0015 86.1036
吾人 r 代词 146 0.0015 86.0856
统一性 n 名词 146 0.0015 86.0796
大幅度 n 名词 146 0.0015 86.0871
大雨 n 名词 146 0.0015 86.0886
二十七 m 数词 146 0.0015 86.0901
洪 nhf 人名-姓 146 0.0015 86.0916
新颖 a 形容词 146 0.0015 86.0931
客气 a 形容词 146 0.0015 86.1006
严峻 a 形容词 146 0.0015 86.0946
子孙 n 名词 146 0.0015 86.0976
报告文学 n 名词 146 0.0015 86.0991
古代 n 名词 146 0.0015 86.1051
追究 v 动词 146 0.0015 86.1021
装有 v 动词 146 0.0015 86.0961
抄 v 动词 146 0.0015 86.0841
自主权 n 名词 146 0.0015 86.0751
欲 n 名词 146 0.0015 86.0616
松树 n 名词 146 0.0015 86.0646
扫荡 v 动词 146 0.0015 86.0586
辣椒 n 名词 146 0.0015 86.0571
景物 n 名词 146 0.0015 86.0766
私有 v 动词 146 0.0015 86.0556
还给 v 动词 146 0.0015 86.0826
子弟 n 名词 146 0.0015 86.0541
武力 n 名词 146 0.0015 86.0601
领导班子 n 名词 146 0.0015 86.0661
爸 n 名词 146 0.0015 86.0676
流出 v 动词 146 0.0015 86.0691
慎重 a 形容词 146 0.0015 86.0706
拦住 v 动词 146 0.0015 86.0781
向 n 名词 146 0.0015 86.0721
导管 n 名词 146 0.0015 86.0631
一般来说 c 连词 146 0.0015 86.0736
忠实 a 形容词 145 0.0015 86.1741
隔离 v 动词 145 0.0015 86.1546
感性 n 名词 145 0.0015 86.1516
政治学 n 名词 145 0.0015 86.1576
串 v 动词 145 0.0015 86.1591
遮 v 动词 145 0.0015 86.1606
没什么 i 习用语 145 0.0015 86.1621
前线 nl 处所名词 145 0.0015 86.1636
南下 v 动词 145 0.0015 86.1651
辩护 v 动词 145 0.0015 86.1666
用作 v 动词 145 0.0015 86.1681
差点 d 副词 145 0.0015 86.1696
秋季 nt 时间名词 145 0.0015 86.1711
僧侣 n 名词 145 0.0015 86.1486
精密 a 形容词 145 0.0015 86.1756
火光 n 名词 145 0.0015 86.1531
陷 v 动词 145 0.0015 86.1936
遇见 v 动词 145 0.0015 86.1846
达成 v 动词 145 0.0015 86.1906
二十六 m 数词 145 0.0015 86.1891
结局 n 名词 145 0.0015 86.1876
答复 v 动词 145 0.0015 86.1861
入党 v 动词 145 0.0015 86.1921
星期天 nt 时间名词 145 0.0015 86.1831
钻研 v 动词 145 0.0015 86.1816
原先 d 副词 145 0.0015 86.1801
陆 nhf 人名-姓 145 0.0015 86.1786
人民公社 n 名词 145 0.0015 86.1726
窗子 n 名词 145 0.0015 86.1771
快要 vu 能愿动词 145 0.0015 86.1561
伞 n 名词 145 0.0015 86.1471
政 n 名词 145 0.0015 86.1246
捕捞 v 动词 145 0.0015 86.1261
湍流 n 名词 145 0.0015 86.1201
适合于 v 动词 145 0.0015 86.1186
光芒 n 名词 145 0.0015 86.1066
常识 n 名词 145 0.0015 86.1171
搏斗 v 动词 145 0.0015 86.1276
礼物 n 名词 145 0.0015 86.1156
真空 n 名词 145 0.0015 86.1141
山顶 nl 处所名词 145 0.0015 86.1126
短暂 a 形容词 145 0.0015 86.1111
调解 v 动词 145 0.0015 86.1096
路程 n 名词 145 0.0015 86.1081
来临 v 动词 145 0.0015 86.1291
移到 v 动词 145 0.0015 86.1306
呐 u 助词 145 0.0015 86.1321
小儿 n 名词 145 0.0015 86.1336
珍珠 n 名词 145 0.0015 86.1351
奥运会 j 缩略语 145 0.0015 86.1366
锤 n 名词 145 0.0015 86.1501
扰动 v 动词 145 0.0015 86.1381
分明 a 形容词 145 0.0015 86.1231
定向 v 动词 145 0.0015 86.1396
每逢 v 动词 145 0.0015 86.1411
长久 n 名词 145 0.0015 86.1426
握手 v 动词 145 0.0015 86.1441
课本 n 名词 145 0.0015 86.1456
局限性 n 名词 145 0.0015 86.1216
水文 n 名词 144 0.0015 86.2596
筷子 n 名词 144 0.0015 86.2476
干吗 v 动词 144 0.0015 86.2326
再见 v 动词 144 0.0015 86.2296
都市 n 名词 144 0.0015 86.2341
准备 n 名词 144 0.0015 86.2356
网络 n 名词 144 0.0015 86.2371
责任感 n 名词 144 0.0015 86.2386
小朋友 n 名词 144 0.0015 86.2401
预期 v 动词 144 0.0015 86.2416
司法 n 名词 144 0.0015 86.2431
罪行 n 名词 144 0.0015 86.2446
怎么说 v 动词 144 0.0015 86.2251
肝脏 n 名词 144 0.0015 86.2611
中枢 n 名词 144 0.0015 86.2491
局势 n 名词 144 0.0015 86.2581
稍稍 d 副词 144 0.0015 86.2566
纬 n 名词 144 0.0015 86.2551
表层 n 名词 144 0.0015 86.2536
充实 a 形容词 144 0.0015 86.2521
同等 a 形容词 144 0.0015 86.2461
蚊子 n 名词 144 0.0015 86.2506
形象思维 n 名词 144 0.0015 86.2311
活儿 n 名词 144 0.0015 86.2266
调 n 名词 144 0.0015 86.2026
库 n 名词 144 0.0015 86.2056
高等学校 n 名词 144 0.0015 86.2041
乒乓球 n 名词 144 0.0015 86.2101
快活 a 形容词 144 0.0015 86.2011
亲热 a 形容词 144 0.0015 86.1996
除了 d 副词 144 0.0015 86.1981
弥漫 v 动词 144 0.0015 86.1966
化学性质 n 名词 144 0.0015 86.1951
院里 nl 处所名词 144 0.0015 86.2071
一行 mq 数量 144 0.0015 86.2116
退化 v 动词 144 0.0015 86.2131
前去 v 动词 144 0.0015 86.2146
宗旨 n 名词 144 0.0015 86.2161
雪花 n 名词 144 0.0015 86.2176
手掌 n 名词 144 0.0015 86.2191
无机 f 区别词 144 0.0015 86.2281
同年 nt 时间名词 144 0.0015 86.2206
抱住 v 动词 144 0.0015 86.2086
处分 n 名词 144 0.0015 86.2221
冒险 v 动词 144 0.0015 86.2236
琢磨 v 动词 143 0.0015 86.2926
支撑 v 动词 143 0.0015 86.2941
自信 v 动词 143 0.0015 86.2956
鲜 a 形容词 143 0.0015 86.3151
电能 n 名词 143 0.0015 86.2971
四处 n 名词 143 0.0015 86.2896
牌子 n 名词 143 0.0015 86.2986
卖给 v 动词 143 0.0015 86.3001
检 v 动词 143 0.0015 86.3016
诱导 v 动词 143 0.0015 86.3031
少 v 动词 143 0.0015 86.3136
喉咙 n 名词 143 0.0015 86.3046
侵 v 动词 143 0.0015 86.3061
刻划 v 动词 143 0.0015 86.3076
农具 n 名词 143 0.0015 86.3091
别说 v 动词 143 0.0015 86.3106
民国 nt 时间名词 143 0.0015 86.3121
罚 v 动词 143 0.0015 86.3166
拿去 v 动词 143 0.0015 86.2866
岛屿 n 名词 143 0.0015 86.2851
父子 n 名词 143 0.0015 86.2911
各处 nl 处所名词 143 0.0015 86.2626
思想家 n 名词 143 0.0015 86.2746
业 k 后接成分 143 0.0015 86.2671
忍 v 动词 143 0.0015 86.2686
语境 n 名词 143 0.0015 86.2701
水手 n 名词 143 0.0015 86.2716
测出 v 动词 143 0.0015 86.2731
别 r 代词 143 0.0015 86.2656
不得 v 动词 143 0.0015 86.2761
驱逐 v 动词 143 0.0015 86.2776
嘱咐 v 动词 143 0.0015 86.2791
加大 v 动词 143 0.0015 86.2806
大衣 n 名词 143 0.0015 86.2881
解脱 v 动词 143 0.0015 86.2821
光源 n 名词 143 0.0015 86.2641
声响 n 名词 143 0.0015 86.2836
敌对 a 形容词 142 0.0015 86.3541
日趋 d 副词 142 0.0015 86.3571
图纸 n 名词 142 0.0015 86.3526
进城 v 动词 142 0.0015 86.3481
有如 v 动词 142 0.0015 86.3601
侮辱 v 动词 142 0.0015 86.3556
顶点 n 名词 142 0.0015 86.3616
纳 v 动词 142 0.0015 86.3631
杀害 v 动词 142 0.0015 86.3646
自在 a 形容词 142 0.0015 86.3661
社长 n 名词 142 0.0015 86.3676
章程 n 名词 142 0.0015 86.3691
细小 a 形容词 142 0.0015 86.3721
咦 e 叹词 142 0.0015 86.3841
会儿 nt 时间名词 142 0.0015 86.3781
反 d 副词 142 0.0015 86.3811
责任制 n 名词 142 0.0015 86.3796
比 n 名词 142 0.0015 86.3826
福 n 名词 142 0.0015 86.3766
制取 v 动词 142 0.0015 86.3706
无可奈何 i 习用语 142 0.0015 86.3751
陆 n 名词 142 0.0015 86.3856
有价值 v 动词 142 0.0015 86.3736
力图 v 动词 142 0.0015 86.3586
涌 v 动词 142 0.0015 86.3496
修正 v 动词 142 0.0015 86.3181
鸣 v 动词 142 0.0015 86.3286
有意思 v 动词 142 0.0015 86.3331
匈牙利 ns 地名 142 0.0015 86.3271
鲜艳 a 形容词 142 0.0015 86.3256
锡伯 ns 地名 142 0.0015 86.3241
封锁 v 动词 142 0.0015 86.3226
对外 v 动词 142 0.0015 86.3211
假使 c 连词 142 0.0015 86.3196
组 q 量词 142 0.0015 86.3301
砌 v 动词 142 0.0015 86.3346
线路 n 名词 142 0.0015 86.3361
杜 nhf 人名-姓 142 0.0015 86.3376
服务员 n 名词 142 0.0015 86.3391
先天 n 名词 142 0.0015 86.3406
应该说 v 动词 142 0.0015 86.3421
专业户 n 名词 142 0.0015 86.3436
风速 n 名词 142 0.0015 86.3451
置于 v 动词 142 0.0015 86.3511
蓬勃 a 形容词 142 0.0015 86.3466
稍微 d 副词 142 0.0015 86.3316
伸长 v 动词 141 0.0015 86.4231
雄伟 a 形容词 141 0.0015 86.4201
承受 v 动词 141 0.0015 86.4246
了不起 a 形容词 141 0.0015 86.4261
专用 v 动词 141 0.0015 86.4276
刘少奇 nh 人名 141 0.0015 86.4291
蹦 v 动词 141 0.0015 86.4306
同 a 形容词 141 0.0015 86.4321
连 d 副词 141 0.0015 86.4336
剧场 n 名词 141 0.0015 86.4351
评选 v 动词 141 0.0015 86.4396
坚实 a 形容词 141 0.0015 86.4516
便利 a 形容词 141 0.0015 86.4501
来源于 v 动词 141 0.0015 86.4486
去世 v 动词 141 0.0015 86.4471
据统计 v 动词 141 0.0015 86.4456
崩溃 v 动词 141 0.0015 86.4441
风光 n 名词 141 0.0015 86.4426
想象力 n 名词 141 0.0015 86.4156
妇 n 名词 141 0.0015 86.4366
分歧 n 名词 141 0.0015 86.4381
心血 n 名词 141 0.0015 86.4411
天下 n 名词 141 0.0015 86.4216
解散 v 动词 141 0.0015 86.4171
老年 nt 时间名词 141 0.0015 86.3976
宫廷 n 名词 141 0.0015 86.3931
版 n 名词 141 0.0015 86.4006
坏人 n 名词 141 0.0015 86.3916
淡水 n 名词 141 0.0015 86.3901
金牌 n 名词 141 0.0015 86.3886
二十八 m 数词 141 0.0015 86.3871
连结 v 动词 141 0.0015 86.3946
学徒 n 名词 141 0.0015 86.4021
劳 v 动词 141 0.0015 86.4036
所有者 n 名词 141 0.0015 86.4051
扭转 v 动词 141 0.0015 86.4066
那天 nt 时间名词 141 0.0015 86.4186
挫折 n 名词 141 0.0015 86.4096
行军 v 动词 141 0.0015 86.3961
醉 v 动词 141 0.0015 86.4111
舱 n 名词 141 0.0015 86.4126
外力 n 名词 141 0.0015 86.4141
复杂性 n 名词 141 0.0015 86.4081
种族 n 名词 141 0.0015 86.3991
波浪 n 名词 140 0.0015 86.4876
化学家 n 名词 140 0.0015 86.4831
下班 v 动词 140 0.0015 86.4846
杜威 nh 人名 140 0.0015 86.5041
窜 v 动词 140 0.0015 86.4861
衰变 v 动词 140 0.0015 86.4801
这边 n 名词 140 0.0015 86.4891
潘 nhf 人名-姓 140 0.0015 86.4906
插入 v 动词 140 0.0015 86.4921
当即 d 副词 140 0.0015 86.5026
重 v 动词 140 0.0015 86.4936
外在 a 形容词 140 0.0015 86.4951
少伟 nhs 人名-名 140 0.0015 86.4966
奴隶社会 n 名词 140 0.0015 86.4981
镇上 nl 处所名词 140 0.0015 86.4996
京 j 缩略语 140 0.0015 86.5011
简称 n 名词 140 0.0015 86.4771
跳动 v 动词 140 0.0015 86.5056
视线 n 名词 140 0.0015 86.4816
冲破 v 动词 140 0.0015 86.4756
主管 n 名词 140 0.0015 86.4531
蜡烛 n 名词 140 0.0015 86.4651
民主主义 n 名词 140 0.0015 86.4576
弟 n 名词 140 0.0015 86.4591
衰老 a 形容词 140 0.0015 86.4606
关闭 v 动词 140 0.0015 86.4621
账 n 名词 140 0.0015 86.4636
公主 n 名词 140 0.0015 86.4561
全村 n 名词 140 0.0015 86.4666
奇异 a 形容词 140 0.0015 86.4681
神经系统 n 名词 140 0.0015 86.4696
亲爱的 n 名词 140 0.0015 86.4711
路子 n 名词 140 0.0015 86.4786
毒素 n 名词 140 0.0015 86.4726
被动 v 动词 140 0.0015 86.4546
愣 v 动词 140 0.0015 86.4741
左边 nd 方位名词 139 0.0015 86.5431
大量 m 数词 139 0.0015 86.5446
书写 v 动词 139 0.0015 86.5356
良心 n 名词 139 0.0015 86.5551
时节 n 名词 139 0.0015 86.5401
陷于 v 动词 139 0.0015 86.5461
葫芦 n 名词 139 0.0015 86.5386
栏 n 名词 139 0.0015 86.5476
中叶 nt 时间名词 139 0.0015 86.5491
上边 nd 方位名词 139 0.0015 86.5506
便 c 连词 139 0.0015 86.5521
资产 n 名词 139 0.0015 86.5581
人身 n 名词 139 0.0015 86.5671
探测器 n 名词 139 0.0015 86.5656
作业 v 动词 139 0.0015 86.5641
论点 n 名词 139 0.0015 86.5626
本章 n 名词 139 0.0015 86.5686
睁开 v 动词 139 0.0015 86.5611
屈服 v 动词 139 0.0015 86.5596
阴阳 n 名词 139 0.0015 86.5536
基建 j 缩略语 139 0.0015 86.5566
太阳能 n 名词 139 0.0015 86.5416
威信 n 名词 139 0.0015 86.5341
停下来 v 动词 139 0.0015 86.5071
滴 n 名词 139 0.0015 86.5176
啃 v 动词 139 0.0015 86.5206
饼 n 名词 139 0.0015 86.5161
曹 nhf 人名-姓 139 0.0015 86.5146
兴建 v 动词 139 0.0015 86.5131
感性 a 形容词 139 0.0015 86.5116
引用 v 动词 139 0.0015 86.5101
五四 j 缩略语 139 0.0015 86.5086
烟囱 n 名词 139 0.0015 86.5191
放进 v 动词 139 0.0015 86.5221
凝 v 动词 139 0.0015 86.5236
净化 v 动词 139 0.0015 86.5251
精度 n 名词 139 0.0015 86.5266
熔 v 动词 139 0.0015 86.5281
星云 n 名词 139 0.0015 86.5311
友 n 名词 139 0.0015 86.5371
可得 vu 能愿动词 139 0.0015 86.5326
终身 n 名词 139 0.0015 86.5296
冰雪 n 名词 138 0.0014 86.6036
万一 c 连词 138 0.0014 86.605
橡皮 n 名词 138 0.0014 86.6176
成年 n 名词 138 0.0014 86.6064
站住 v 动词 138 0.0014 86.6008
副 a 形容词 138 0.0014 86.6092
看去 v 动词 138 0.0014 86.6106
主要矛盾 n 名词 138 0.0014 86.5812
期望 n 名词 138 0.0014 86.612
滤 v 动词 138 0.0014 86.6022
开幕 v 动词 138 0.0014 86.6134
同行 n 名词 138 0.0014 86.6148
不注意 v 动词 138 0.0014 86.619
刑罚 n 名词 138 0.0014 86.6302
道教 n 名词 138 0.0014 86.6288
一丝 mq 数量 138 0.0014 86.6274
走廊 n 名词 138 0.0014 86.626
写字 v 动词 138 0.0014 86.6246
乡下 nl 处所名词 138 0.0014 86.6232
落叶 n 名词 138 0.0014 86.6162
自力更生 i 习用语 138 0.0014 86.6204
瘤 n 名词 138 0.0014 86.6218
以来 nd 方位名词 138 0.0014 86.6078
翼 n 名词 138 0.0014 86.5896
图中 nl 处所名词 138 0.0014 86.5784
流血 v 动词 138 0.0014 86.57
专题 n 名词 138 0.0014 86.5798
证书 n 名词 138 0.0014 86.584
一口 n 名词 138 0.0014 86.577
弟子 n 名词 138 0.0014 86.5756
一派 mq 数量 138 0.0014 86.5742
汉代 nt 时间名词 138 0.0014 86.5728
美妙 a 形容词 138 0.0014 86.5714
比喻 n 名词 138 0.0014 86.5826
花费 v 动词 138 0.0014 86.5854
出身 v 动词 138 0.0014 86.5882
一贯 d 副词 138 0.0014 86.591
星球 n 名词 138 0.0014 86.5924
排水 v 动词 138 0.0014 86.5938
鲫鱼 n 名词 138 0.0014 86.5952
加剧 v 动词 138 0.0014 86.5966
汉奸 n 名词 138 0.0014 86.5994
政治委员 n 名词 138 0.0014 86.598
勤 a 形容词 138 0.0014 86.5868
逛 v 动词 137 0.0014 86.6792
毒性 n 名词 137 0.0014 86.6708
不当 a 形容词 137 0.0014 86.6722
职员 n 名词 137 0.0014 86.6736
细心 a 形容词 137 0.0014 86.675
味儿 n 名词 137 0.0014 86.6764
同伴 n 名词 137 0.0014 86.689
图书 n 名词 137 0.0014 86.6778
继承人 n 名词 137 0.0014 86.6666
面目 n 名词 137 0.0014 86.6806
婚姻法 n 名词 137 0.0014 86.682
欧姆 q 量词 137 0.0014 86.6834
此地 n 名词 137 0.0014 86.6848
动脉 n 名词 137 0.0014 86.6918
不知不觉 i 习用语 137 0.0014 86.703
照明 v 动词 137 0.0014 86.7016
兄 n 名词 137 0.0014 86.7002
身影 n 名词 137 0.0014 86.6988
其间 nd 方位名词 137 0.0014 86.6974
蜡 n 名词 137 0.0014 86.696
中小学 j 缩略语 137 0.0014 86.6946
旋 v 动词 137 0.0014 86.6932
远离 v 动词 137 0.0014 86.6862
情操 n 名词 137 0.0014 86.6904
洁白 a 形容词 137 0.0014 86.6876
声调 n 名词 137 0.0014 86.6694
臣 n 名词 137 0.0014 86.661
老先生 n 名词 137 0.0014 86.6442
长处 n 名词 137 0.0014 86.647
花 a 形容词 137 0.0014 86.6638
稻谷 n 名词 137 0.0014 86.6428
下级 n 名词 137 0.0014 86.668
只有 v 动词 137 0.0014 86.6414
讨厌 a 形容词 137 0.0014 86.64
华 nhf 人名-姓 137 0.0014 86.6386
花生 n 名词 137 0.0014 86.6316
报名 v 动词 137 0.0014 86.6358
公安机关 n 名词 137 0.0014 86.6344
甲烷 n 名词 137 0.0014 86.633
熊 n 名词 137 0.0014 86.6372
演唱 v 动词 137 0.0014 86.6456
中性 n 名词 137 0.0014 86.6484
显现 v 动词 137 0.0014 86.6498
呼 v 动词 137 0.0014 86.6512
嗨 e 叹词 137 0.0014 86.6526
必有 v 动词 137 0.0014 86.654
白云 n 名词 137 0.0014 86.6554
燃 v 动词 137 0.0014 86.6568
入手 v 动词 137 0.0014 86.6582
衍射 v 动词 137 0.0014 86.6596
